pin,slack
COREABC_0/UROM_UROM/INS_i_a2_i_a2_RNILF6E[1]:A,14053
COREABC_0/UROM_UROM/INS_i_a2_i_a2_RNILF6E[1]:Y,14053
COREABC_0/ACCUM_NEXT_6_ns_1[3]:A,16010
COREABC_0/ACCUM_NEXT_6_ns_1[3]:B,15834
COREABC_0/ACCUM_NEXT_6_ns_1[3]:C,15781
COREABC_0/ACCUM_NEXT_6_ns_1[3]:D,14466
COREABC_0/ACCUM_NEXT_6_ns_1[3]:Y,14466
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_shift_12[2]:A,16225
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_shift_12[2]:B,17374
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_shift_12[2]:Y,16225
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_19:EN,
COREABC_0/SMADDR_RNO[6]:A,17329
COREABC_0/SMADDR_RNO[6]:B,17308
COREABC_0/SMADDR_RNO[6]:C,15524
COREABC_0/SMADDR_RNO[6]:D,15078
COREABC_0/SMADDR_RNO[6]:Y,15078
COREABC_0/INSTR_SCMD[1]:ADn,
COREABC_0/INSTR_SCMD[1]:ALn,
COREABC_0/INSTR_SCMD[1]:CLK,13238
COREABC_0/INSTR_SCMD[1]:D,15079
COREABC_0/INSTR_SCMD[1]:EN,
COREABC_0/INSTR_SCMD[1]:LAT,
COREABC_0/INSTR_SCMD[1]:Q,13238
COREABC_0/INSTR_SCMD[1]:SD,
COREABC_0/INSTR_SCMD[1]:SLn,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:ADn,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:ALn,16293
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:CLK,16188
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:D,16218
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:EN,17134
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:LAT,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:Q,16188
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:SD,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_6:EN,16427
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_6:IPENn,16427
COREABC_0/ACCUMULATOR[7]:ADn,
COREABC_0/ACCUMULATOR[7]:ALn,16293
COREABC_0/ACCUMULATOR[7]:CLK,14896
