pin,slack
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_9:A,-3567
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_9:B,-2406
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_9:C,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_9:IPA,-3567
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_9:IPB,-2406
MSS_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/framing_error_int_0_sqmuxa:A,3304
MSS_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/framing_error_int_0_sqmuxa:B,3161
MSS_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/framing_error_int_0_sqmuxa:C,4346
MSS_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/framing_error_int_0_sqmuxa:D,4086
MSS_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/framing_error_int_0_sqmuxa:Y,3161
Motor_in_obuf[9]/U0/U_IOENFF:A,
Motor_in_obuf[9]/U0/U_IOENFF:Y,
MSS_top_sb_0/corepwm_0_0/G0b_timebase_inst/prescale_cnt_RNI5P7KF[13]:A,
MSS_top_sb_0/corepwm_0_0/G0b_timebase_inst/prescale_cnt_RNI5P7KF[13]:B,-142
MSS_top_sb_0/corepwm_0_0/G0b_timebase_inst/prescale_cnt_RNI5P7KF[13]:C,4151
MSS_top_sb_0/corepwm_0_0/G0b_timebase_inst/prescale_cnt_RNI5P7KF[13]:CC,-976
MSS_top_sb_0/corepwm_0_0/G0b_timebase_inst/prescale_cnt_RNI5P7KF[13]:D,
MSS_top_sb_0/corepwm_0_0/G0b_timebase_inst/prescale_cnt_RNI5P7KF[13]:P,
MSS_top_sb_0/corepwm_0_0/G0b_timebase_inst/prescale_cnt_RNI5P7KF[13]:S,-976
MSS_top_sb_0/corepwm_0_0/G0b_timebase_inst/prescale_cnt_RNI5P7KF[13]:UB,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_231:A,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_231:B,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_231:C,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_231:IPA,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_231:IPB,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_64:A,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_64:B,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_64:C,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_64:IPA,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_64:IPB,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_55:A,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_55:B,
MSS_top_sb_0/MSS_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_55:C,
